,wijkcode,wijknaam,jaar,verkiezing,(%) wijk,std_wijk,std_ver
0,WK030701,Wijk 01 Stadskern,2002.0,GR,3.98,1.45,1.28
1,WK030701,Wijk 01 Stadskern,2002.0,TK,2.76,1.45,1.68
2,WK030701,Wijk 01 Stadskern,2003.0,TK,2.14,1.45,1.68
3,WK030701,Wijk 01 Stadskern,2004.0,EP,3.04,1.45,1.32
4,WK030701,Wijk 01 Stadskern,2006.0,GR,5.1,1.45,1.28
5,WK030701,Wijk 01 Stadskern,2006.0,TK,4.67,1.45,1.68
6,WK030701,Wijk 01 Stadskern,2007.0,PS,5.82,1.45,0.72
7,WK030701,Wijk 01 Stadskern,2009.0,EP,4.86,1.45,1.32
8,WK030701,Wijk 01 Stadskern,2010.0,GR,5.46,1.45,1.28
9,WK030701,Wijk 01 Stadskern,2010.0,TK,6.9,1.45,1.68
10,WK030701,Wijk 01 Stadskern,2011.0,PS,4.39,1.45,0.72
11,WK030701,Wijk 01 Stadskern,2012.0,TK,3.48,1.45,1.68
12,WK030701,Wijk 01 Stadskern,2014.0,EP,5.61,1.45,1.32
13,WK030701,Wijk 01 Stadskern,2014.0,GR,6.88,1.45,1.28
14,WK030701,Wijk 01 Stadskern,2015.0,PS,5.19,1.45,0.72
15,WK030701,Wijk 01 Stadskern,2017.0,TK,4.14,1.45,1.68
16,WK030701,Wijk 01 Stadskern,2018.0,GR,7.03,1.45,1.28
17,WK030702,Wijk 02 Zonnehof,2002.0,GR,9.63,1.84,1.75
18,WK030702,Wijk 02 Zonnehof,2002.0,TK,6.21,1.84,1.82
19,WK030702,Wijk 02 Zonnehof,2003.0,TK,6.49,1.84,1.82
20,WK030702,Wijk 02 Zonnehof,2004.0,EP,7.23,1.84,0.57
21,WK030702,Wijk 02 Zonnehof,2006.0,GR,7.54,1.84,1.75
22,WK030702,Wijk 02 Zonnehof,2006.0,TK,8.02,1.84,1.82
23,WK030702,Wijk 02 Zonnehof,2007.0,PS,9.97,1.84,3.12
24,WK030702,Wijk 02 Zonnehof,2009.0,EP,6.17,1.84,0.57
25,WK030702,Wijk 02 Zonnehof,2010.0,GR,5.89,1.84,1.75
26,WK030702,Wijk 02 Zonnehof,2010.0,TK,6.9,1.84,1.82
27,WK030702,Wijk 02 Zonnehof,2011.0,PS,4.55,1.84,3.12
28,WK030702,Wijk 02 Zonnehof,2012.0,TK,3.67,1.84,1.82
29,WK030702,Wijk 02 Zonnehof,2014.0,EP,7.07,1.84,0.57
30,WK030702,Wijk 02 Zonnehof,2014.0,GR,7.4,1.84,1.75
31,WK030702,Wijk 02 Zonnehof,2015.0,PS,4.59,1.84,3.12
32,WK030702,Wijk 02 Zonnehof,2017.0,TK,3.53,1.84,1.82
33,WK030702,Wijk 02 Zonnehof,2018.0,GR,5.07,1.84,1.75
34,WK030703,Wijk 03 Soesterkwartier,2002.0,GR,7.51,2.21,1.39
35,WK030703,Wijk 03 Soesterkwartier,2002.0,TK,5.04,2.21,2.67
36,WK030703,Wijk 03 Soesterkwartier,2003.0,TK,4.65,2.21,2.67
37,WK030703,Wijk 03 Soesterkwartier,2004.0,EP,9.16,2.21,0.45
38,WK030703,Wijk 03 Soesterkwartier,2006.0,GR,8.52,2.21,1.39
39,WK030703,Wijk 03 Soesterkwartier,2006.0,TK,6.47,2.21,2.67
40,WK030703,Wijk 03 Soesterkwartier,2007.0,PS,11.64,2.21,2.22
41,WK030703,Wijk 03 Soesterkwartier,2009.0,EP,9.82,2.21,0.45
42,WK030703,Wijk 03 Soesterkwartier,2010.0,GR,9.52,2.21,1.39
43,WK030703,Wijk 03 Soesterkwartier,2010.0,TK,12.07,2.21,2.67
44,WK030703,Wijk 03 Soesterkwartier,2011.0,PS,7.43,2.21,2.22
45,WK030703,Wijk 03 Soesterkwartier,2012.0,TK,6.48,2.21,2.67
46,WK030703,Wijk 03 Soesterkwartier,2014.0,EP,10.03,2.21,0.45
47,WK030703,Wijk 03 Soesterkwartier,2014.0,GR,11.14,2.21,1.39
48,WK030703,Wijk 03 Soesterkwartier,2015.0,PS,8.3,2.21,2.22
49,WK030703,Wijk 03 Soesterkwartier,2017.0,TK,6.59,2.21,2.67
50,WK030703,Wijk 03 Soesterkwartier,2018.0,GR,10.01,2.21,1.39
51,WK030704,Wijk 04 Isselt,2018.0,GR,7.17,2.59,1.91
52,WK030705,Wijk 05 Bosgebied,2002.0,GR,4.09,3.02,2.91
53,WK030705,Wijk 05 Bosgebied,2002.0,TK,2.35,3.02,2.39
54,WK030705,Wijk 05 Bosgebied,2003.0,TK,2.55,3.02,2.39
55,WK030705,Wijk 05 Bosgebied,2004.0,EP,3.98,3.02,3.12
56,WK030705,Wijk 05 Bosgebied,2006.0,GR,5.78,3.02,2.91
57,WK030705,Wijk 05 Bosgebied,2006.0,TK,5.45,3.02,2.39
58,WK030705,Wijk 05 Bosgebied,2007.0,PS,7.64,3.02,1.58
59,WK030705,Wijk 05 Bosgebied,2009.0,EP,7.56,3.02,3.12
60,WK030705,Wijk 05 Bosgebied,2010.0,GR,8.2,3.02,2.91
61,WK030705,Wijk 05 Bosgebied,2010.0,TK,0.17,3.02,2.39
62,WK030705,Wijk 05 Bosgebied,2011.0,PS,9.07,3.02,1.58
63,WK030705,Wijk 05 Bosgebied,2012.0,TK,6.02,3.02,2.39
64,WK030705,Wijk 05 Bosgebied,2014.0,EP,10.2,3.02,3.12
65,WK030705,Wijk 05 Bosgebied,2014.0,GR,10.41,3.02,2.91
66,WK030705,Wijk 05 Bosgebied,2015.0,PS,5.92,3.02,1.58
67,WK030705,Wijk 05 Bosgebied,2017.0,TK,5.82,3.02,2.39
68,WK030705,Wijk 05 Bosgebied,2018.0,GR,10.83,3.02,2.91
69,WK030706,Wijk 06 De Koppel,2009.0,EP,10.14,2.65,1.31
70,WK030706,Wijk 06 De Koppel,2010.0,GR,5.92,2.65,2.44
71,WK030706,Wijk 06 De Koppel,2010.0,TK,6.9,2.65,1.7
72,WK030706,Wijk 06 De Koppel,2011.0,PS,6.74,2.65,0.23
73,WK030706,Wijk 06 De Koppel,2012.0,TK,3.53,2.65,1.7
74,WK030706,Wijk 06 De Koppel,2014.0,EP,11.99,2.65,1.31
75,WK030706,Wijk 06 De Koppel,2014.0,GR,10.52,2.65,2.44
76,WK030706,Wijk 06 De Koppel,2015.0,PS,7.06,2.65,0.23
77,WK030706,Wijk 06 De Koppel,2017.0,TK,4.84,2.65,1.7
78,WK030706,Wijk 06 De Koppel,2018.0,GR,6.81,2.65,2.44
79,WK030707,Wijk 07 De Kruiskamp,2002.0,GR,6.14,1.51,1.36
80,WK030707,Wijk 07 De Kruiskamp,2002.0,TK,4.63,1.51,1.09
81,WK030707,Wijk 07 De Kruiskamp,2003.0,TK,3.58,1.51,1.09
82,WK030707,Wijk 07 De Kruiskamp,2004.0,EP,6.54,1.51,1.14
83,WK030707,Wijk 07 De Kruiskamp,2006.0,GR,5.84,1.51,1.36
84,WK030707,Wijk 07 De Kruiskamp,2006.0,TK,5.17,1.51,1.09
85,WK030707,Wijk 07 De Kruiskamp,2007.0,PS,7.73,1.51,1.02
86,WK030707,Wijk 07 De Kruiskamp,2009.0,EP,7.33,1.51,1.14
87,WK030707,Wijk 07 De Kruiskamp,2010.0,GR,7.09,1.51,1.36
88,WK030707,Wijk 07 De Kruiskamp,2010.0,TK,6.9,1.51,1.09
89,WK030707,Wijk 07 De Kruiskamp,2011.0,PS,5.7,1.51,1.02
90,WK030707,Wijk 07 De Kruiskamp,2012.0,TK,4.87,1.51,1.09
91,WK030707,Wijk 07 De Kruiskamp,2014.0,EP,8.78,1.51,1.14
92,WK030707,Wijk 07 De Kruiskamp,2014.0,GR,8.5,1.51,1.36
93,WK030707,Wijk 07 De Kruiskamp,2015.0,PS,6.8,1.51,1.02
94,WK030707,Wijk 07 De Kruiskamp,2017.0,TK,5.37,1.51,1.09
95,WK030707,Wijk 07 De Kruiskamp,2018.0,GR,8.85,1.51,1.36
96,WK030708,Wijk 08 Schothorst Zuid,2002.0,GR,13.1,3.09,1.86
97,WK030708,Wijk 08 Schothorst Zuid,2002.0,TK,8.78,3.09,1.98
98,WK030708,Wijk 08 Schothorst Zuid,2003.0,TK,7.55,3.09,1.98
99,WK030708,Wijk 08 Schothorst Zuid,2004.0,EP,13.32,3.09,1.36
100,WK030708,Wijk 08 Schothorst Zuid,2006.0,GR,13.51,3.09,1.86
101,WK030708,Wijk 08 Schothorst Zuid,2006.0,TK,11.39,3.09,1.98
102,WK030708,Wijk 08 Schothorst Zuid,2007.0,PS,14.94,3.09,2.07
103,WK030708,Wijk 08 Schothorst Zuid,2009.0,EP,14.17,3.09,1.36
104,WK030708,Wijk 08 Schothorst Zuid,2010.0,GR,15.47,3.09,1.86
105,WK030708,Wijk 08 Schothorst Zuid,2010.0,TK,6.9,3.09,1.98
106,WK030708,Wijk 08 Schothorst Zuid,2011.0,PS,10.87,3.09,2.07
107,WK030708,Wijk 08 Schothorst Zuid,2012.0,TK,9.66,3.09,1.98
108,WK030708,Wijk 08 Schothorst Zuid,2014.0,EP,15.99,3.09,1.36
109,WK030708,Wijk 08 Schothorst Zuid,2014.0,GR,17.69,3.09,1.86
110,WK030708,Wijk 08 Schothorst Zuid,2015.0,PS,13.58,3.09,2.07
111,WK030708,Wijk 08 Schothorst Zuid,2017.0,TK,11.77,3.09,1.98
112,WK030708,Wijk 08 Schothorst Zuid,2018.0,GR,15.73,3.09,1.86
113,WK030709,Wijk 09 Schothorst Noord,2002.0,GR,9.87,2.64,1.71
114,WK030709,Wijk 09 Schothorst Noord,2002.0,TK,6.14,2.64,1.18
115,WK030709,Wijk 09 Schothorst Noord,2003.0,TK,5.56,2.64,1.18
116,WK030709,Wijk 09 Schothorst Noord,2004.0,EP,10.44,2.64,1.16
117,WK030709,Wijk 09 Schothorst Noord,2006.0,GR,10.11,2.64,1.71
118,WK030709,Wijk 09 Schothorst Noord,2006.0,TK,8.77,2.64,1.18
119,WK030709,Wijk 09 Schothorst Noord,2007.0,PS,14.11,2.64,2.72
120,WK030709,Wijk 09 Schothorst Noord,2009.0,EP,11.43,2.64,1.16
121,WK030709,Wijk 09 Schothorst Noord,2010.0,GR,11.21,2.64,1.71
122,WK030709,Wijk 09 Schothorst Noord,2010.0,TK,6.9,2.64,1.18
123,WK030709,Wijk 09 Schothorst Noord,2011.0,PS,8.68,2.64,2.72
124,WK030709,Wijk 09 Schothorst Noord,2012.0,TK,7.17,2.64,1.18
125,WK030709,Wijk 09 Schothorst Noord,2014.0,EP,12.76,2.64,1.16
126,WK030709,Wijk 09 Schothorst Noord,2014.0,GR,13.85,2.64,1.71
127,WK030709,Wijk 09 Schothorst Noord,2015.0,PS,11.12,2.64,2.72
128,WK030709,Wijk 09 Schothorst Noord,2017.0,TK,8.0,2.64,1.18
129,WK030709,Wijk 09 Schothorst Noord,2018.0,GR,12.73,2.64,1.71
130,WK030710,Wijk 10 Liendert,2002.0,GR,11.17,2.78,0.68
131,WK030710,Wijk 10 Liendert,2002.0,TK,7.1,2.78,1.0
132,WK030710,Wijk 10 Liendert,2003.0,TK,6.35,2.78,1.0
133,WK030710,Wijk 10 Liendert,2004.0,EP,13.13,2.78,0.6
134,WK030710,Wijk 10 Liendert,2006.0,GR,12.11,2.78,0.68
135,WK030710,Wijk 10 Liendert,2006.0,TK,9.15,2.78,1.0
136,WK030710,Wijk 10 Liendert,2007.0,PS,14.46,2.78,3.18
137,WK030710,Wijk 10 Liendert,2009.0,EP,13.27,2.78,0.6
138,WK030710,Wijk 10 Liendert,2010.0,GR,10.57,2.78,0.68
139,WK030710,Wijk 10 Liendert,2010.0,TK,6.9,2.78,1.0
140,WK030710,Wijk 10 Liendert,2011.0,PS,8.11,2.78,3.18
141,WK030710,Wijk 10 Liendert,2012.0,TK,6.62,2.78,1.0
142,WK030710,Wijk 10 Liendert,2014.0,EP,14.23,2.78,0.6
143,WK030710,Wijk 10 Liendert,2014.0,GR,12.2,2.78,0.68
144,WK030710,Wijk 10 Liendert,2015.0,PS,11.27,2.78,3.18
145,WK030710,Wijk 10 Liendert,2017.0,TK,7.53,2.78,1.0
146,WK030710,Wijk 10 Liendert,2018.0,GR,11.31,2.78,0.68
147,WK030711,Wijk 11 Rustenburg,2002.0,GR,11.39,2.93,1.56
148,WK030711,Wijk 11 Rustenburg,2002.0,TK,7.06,2.93,1.41
149,WK030711,Wijk 11 Rustenburg,2003.0,TK,6.29,2.93,1.41
150,WK030711,Wijk 11 Rustenburg,2004.0,EP,13.16,2.93,1.78
151,WK030711,Wijk 11 Rustenburg,2006.0,GR,11.4,2.93,1.56
152,WK030711,Wijk 11 Rustenburg,2006.0,TK,9.17,2.93,1.41
153,WK030711,Wijk 11 Rustenburg,2007.0,PS,13.98,2.93,1.91
154,WK030711,Wijk 11 Rustenburg,2009.0,EP,13.49,2.93,1.78
155,WK030711,Wijk 11 Rustenburg,2010.0,GR,11.82,2.93,1.56
156,WK030711,Wijk 11 Rustenburg,2010.0,TK,6.9,2.93,1.41
157,WK030711,Wijk 11 Rustenburg,2011.0,PS,10.19,2.93,1.91
158,WK030711,Wijk 11 Rustenburg,2012.0,TK,8.92,2.93,1.41
159,WK030711,Wijk 11 Rustenburg,2014.0,EP,16.39,2.93,1.78
160,WK030711,Wijk 11 Rustenburg,2014.0,GR,15.0,2.93,1.56
161,WK030711,Wijk 11 Rustenburg,2015.0,PS,12.49,2.93,1.91
162,WK030711,Wijk 11 Rustenburg,2017.0,TK,9.63,2.93,1.41
163,WK030711,Wijk 11 Rustenburg,2018.0,GR,13.3,2.93,1.56
164,WK030712,Wijk 12 Stoutenburg-Noord,2009.0,EP,22.42,2.59,1.91
165,WK030713,Wijk 13 Schuilenburg,2002.0,GR,8.24,2.63,1.64
166,WK030713,Wijk 13 Schuilenburg,2002.0,TK,5.11,2.63,1.2
167,WK030713,Wijk 13 Schuilenburg,2003.0,TK,4.34,2.63,1.2
168,WK030713,Wijk 13 Schuilenburg,2004.0,EP,9.29,2.63,2.51
169,WK030713,Wijk 13 Schuilenburg,2006.0,GR,9.26,2.63,1.64
170,WK030713,Wijk 13 Schuilenburg,2006.0,TK,7.27,2.63,1.2
171,WK030713,Wijk 13 Schuilenburg,2007.0,PS,11.47,2.63,2.24
172,WK030713,Wijk 13 Schuilenburg,2009.0,EP,10.76,2.63,2.51
173,WK030713,Wijk 13 Schuilenburg,2010.0,GR,9.68,2.63,1.64
174,WK030713,Wijk 13 Schuilenburg,2010.0,TK,6.9,2.63,1.2
175,WK030713,Wijk 13 Schuilenburg,2011.0,PS,6.99,2.63,2.24
176,WK030713,Wijk 13 Schuilenburg,2012.0,TK,6.92,2.63,1.2
177,WK030713,Wijk 13 Schuilenburg,2014.0,EP,14.19,2.63,2.51
178,WK030713,Wijk 13 Schuilenburg,2014.0,GR,12.52,2.63,1.64
179,WK030713,Wijk 13 Schuilenburg,2015.0,PS,9.4,2.63,2.24
180,WK030713,Wijk 13 Schuilenburg,2017.0,TK,6.79,2.63,1.2
181,WK030713,Wijk 13 Schuilenburg,2018.0,GR,10.89,2.63,1.64
182,WK030714,Wijk 14 Randenbroek,2002.0,GR,10.97,2.62,2.04
183,WK030714,Wijk 14 Randenbroek,2002.0,TK,6.92,2.62,1.07
184,WK030714,Wijk 14 Randenbroek,2003.0,TK,5.74,2.62,1.07
185,WK030714,Wijk 14 Randenbroek,2004.0,EP,10.13,2.62,1.82
186,WK030714,Wijk 14 Randenbroek,2006.0,GR,11.78,2.62,2.04
187,WK030714,Wijk 14 Randenbroek,2006.0,TK,7.9,2.62,1.07
188,WK030714,Wijk 14 Randenbroek,2007.0,PS,11.5,2.62,1.83
189,WK030714,Wijk 14 Randenbroek,2009.0,EP,11.07,2.62,1.82
190,WK030714,Wijk 14 Randenbroek,2010.0,GR,10.15,2.62,2.04
191,WK030714,Wijk 14 Randenbroek,2010.0,TK,6.9,2.62,1.07
192,WK030714,Wijk 14 Randenbroek,2011.0,PS,8.5,2.62,1.83
193,WK030714,Wijk 14 Randenbroek,2012.0,TK,7.49,2.62,1.07
194,WK030714,Wijk 14 Randenbroek,2014.0,EP,13.64,2.62,1.82
195,WK030714,Wijk 14 Randenbroek,2014.0,GR,15.49,2.62,2.04
196,WK030714,Wijk 14 Randenbroek,2015.0,PS,11.81,2.62,1.83
197,WK030714,Wijk 14 Randenbroek,2017.0,TK,8.91,2.62,1.07
198,WK030714,Wijk 14 Randenbroek,2018.0,GR,12.04,2.62,2.04
199,WK030715,Wijk 15 Vermeerkwartier,2002.0,GR,6.11,1.94,1.48
200,WK030715,Wijk 15 Vermeerkwartier,2002.0,TK,4.48,1.94,1.24
201,WK030715,Wijk 15 Vermeerkwartier,2003.0,TK,3.71,1.94,1.24
202,WK030715,Wijk 15 Vermeerkwartier,2004.0,EP,7.29,1.94,1.15
203,WK030715,Wijk 15 Vermeerkwartier,2006.0,GR,8.96,1.94,1.48
204,WK030715,Wijk 15 Vermeerkwartier,2006.0,TK,5.74,1.94,1.24
205,WK030715,Wijk 15 Vermeerkwartier,2007.0,PS,8.27,1.94,1.6
206,WK030715,Wijk 15 Vermeerkwartier,2009.0,EP,8.76,1.94,1.15
207,WK030715,Wijk 15 Vermeerkwartier,2010.0,GR,7.91,1.94,1.48
208,WK030715,Wijk 15 Vermeerkwartier,2010.0,TK,6.9,1.94,1.24
209,WK030715,Wijk 15 Vermeerkwartier,2011.0,PS,5.09,1.94,1.6
210,WK030715,Wijk 15 Vermeerkwartier,2012.0,TK,4.47,1.94,1.24
211,WK030715,Wijk 15 Vermeerkwartier,2014.0,EP,9.55,1.94,1.15
212,WK030715,Wijk 15 Vermeerkwartier,2014.0,GR,9.81,1.94,1.48
213,WK030715,Wijk 15 Vermeerkwartier,2015.0,PS,6.33,1.94,1.6
214,WK030715,Wijk 15 Vermeerkwartier,2017.0,TK,6.3,1.94,1.24
215,WK030715,Wijk 15 Vermeerkwartier,2018.0,GR,9.4,1.94,1.48
216,WK030716,Wijk 16 Leusderkwartier,2002.0,GR,8.1,2.75,2.33
217,WK030716,Wijk 16 Leusderkwartier,2002.0,TK,5.09,2.75,1.33
218,WK030716,Wijk 16 Leusderkwartier,2003.0,TK,4.22,2.75,1.33
219,WK030716,Wijk 16 Leusderkwartier,2004.0,EP,8.84,2.75,1.99
220,WK030716,Wijk 16 Leusderkwartier,2006.0,GR,10.62,2.75,2.33
221,WK030716,Wijk 16 Leusderkwartier,2006.0,TK,7.17,2.75,1.33
222,WK030716,Wijk 16 Leusderkwartier,2007.0,PS,11.2,2.75,2.08
223,WK030716,Wijk 16 Leusderkwartier,2009.0,EP,10.22,2.75,1.99
224,WK030716,Wijk 16 Leusderkwartier,2010.0,GR,10.31,2.75,2.33
225,WK030716,Wijk 16 Leusderkwartier,2010.0,TK,6.9,2.75,1.33
226,WK030716,Wijk 16 Leusderkwartier,2011.0,PS,7.04,2.75,2.08
227,WK030716,Wijk 16 Leusderkwartier,2012.0,TK,6.49,2.75,1.33
228,WK030716,Wijk 16 Leusderkwartier,2014.0,EP,12.76,2.75,1.99
229,WK030716,Wijk 16 Leusderkwartier,2014.0,GR,14.51,2.75,2.33
230,WK030716,Wijk 16 Leusderkwartier,2015.0,PS,9.05,2.75,2.08
231,WK030716,Wijk 16 Leusderkwartier,2017.0,TK,7.66,2.75,1.33
